0.000,0.000,0.000,-2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.020,0.047,0.038,-1.976,2.356,1.884,1.178,-0.001,0.000,0.001,0.031,0.000,0.031
0.040,0.094,0.075,-1.953,2.353,1.876,1.177,-0.003,0.000,0.001,0.063,0.000,0.063
0.060,0.141,0.112,-1.929,2.349,1.861,1.174,-0.004,0.000,0.002,0.095,0.000,0.095
0.080,0.188,0.149,-1.906,2.342,1.839,1.171,-0.005,0.000,0.003,0.128,0.000,0.128
0.100,0.235,0.185,-1.883,2.333,1.810,1.166,-0.006,0.000,0.003,0.161,0.001,0.161
0.120,0.281,0.221,-1.859,2.321,1.773,1.161,-0.008,0.000,0.004,0.196,0.001,0.196
0.140,0.327,0.255,-1.836,2.307,1.730,1.154,-0.009,0.000,0.005,0.232,0.001,0.232
0.160,0.373,0.289,-1.813,2.291,1.679,1.145,-0.011,0.000,0.005,0.270,0.001,0.270
0.180,0.418,0.321,-1.791,2.273,1.622,1.136,-0.012,0.000,0.006,0.310,0.002,0.310
0.200,0.464,0.353,-1.768,2.252,1.559,1.126,-0.014,0.000,0.007,0.352,0.002,0.352
0.220,0.508,0.382,-1.746,2.229,1.489,1.115,-0.016,0.000,0.008,0.397,0.003,0.397
0.240,0.552,0.411,-1.724,2.204,1.414,1.102,-0.018,0.000,0.009,0.444,0.004,0.444
0.260,0.596,0.437,-1.702,2.177,1.333,1.088,-0.020,0.000,0.010,0.495,0.005,0.495
0.280,0.639,0.462,-1.681,2.147,1.246,1.074,-0.022,0.000,0.011,0.550,0.006,0.550
0.300,0.681,0.485,-1.660,2.116,1.155,1.058,-0.024,0.000,0.012,0.608,0.007,0.608
0.320,0.723,0.507,-1.639,2.082,1.059,1.041,-0.027,0.000,0.013,0.671,0.009,0.671
0.340,0.764,0.526,-1.618,2.047,0.959,1.023,-0.030,0.000,0.015,0.739,0.011,0.739
0.360,0.804,0.543,-1.598,2.009,0.856,1.004,-0.032,0.000,0.016,0.811,0.013,0.811
0.380,0.843,0.558,-1.578,1.969,0.748,0.985,-0.036,0.000,0.018,0.888,0.016,0.888
0.400,0.882,0.571,-1.559,1.928,0.638,0.964,-0.039,0.000,0.019,0.970,0.019,0.970
0.420,0.919,0.581,-1.540,1.884,0.526,0.942,-0.042,0.000,0.021,1.056,0.022,1.056
0.440,0.956,0.589,-1.522,1.839,0.411,0.919,-0.046,0.001,0.023,1.145,0.026,1.145
0.460,0.992,0.595,-1.504,1.792,0.295,0.896,-0.050,0.001,0.025,1.237,0.031,1.237
0.480,1.027,0.599,-1.487,1.743,0.177,0.871,-0.053,0.001,0.027,1.330,0.035,1.330
0.500,1.061,0.600,-1.470,1.692,0.059,0.846,-0.057,0.001,0.028,1.421,0.040,1.421
0.520,1.093,0.599,-1.453,1.640,-0.059,0.820,-0.060,0.001,0.030,1.507,0.045,1.507
0.540,1.125,0.595,-1.437,1.586,-0.177,0.793,-0.063,0.001,0.032,1.585,0.050,1.585
0.560,1.156,0.589,-1.422,1.530,-0.295,0.765,-0.066,0.001,0.033,1.653,0.055,1.653
0.580,1.185,0.581,-1.407,1.473,-0.411,0.737,-0.068,0.001,0.034,1.705,0.058,1.705
0.600,1.214,0.571,-1.393,1.415,-0.526,0.707,-0.070,0.001,0.035,1.741,0.061,1.741
0.620,1.241,0.558,-1.380,1.355,-0.638,0.677,-0.070,0.001,0.035,1.758,0.062,1.758
0.640,1.266,0.543,-1.367,1.294,-0.748,0.647,-0.070,0.001,0.035,1.756,0.062,1.756
0.660,1.291,0.526,-1.354,1.231,-0.856,0.616,-0.069,0.001,0.035,1.736,0.060,1.736
0.680,1.314,0.507,-1.343,1.167,-0.959,0.584,-0.068,0.001,0.034,1.699,0.058,1.699
0.700,1.337,0.485,-1.332,1.102,-1.059,0.551,-0.066,0.001,0.033,1.650,0.054,1.650
0.720,1.357,0.462,-1.321,1.037,-1.155,0.518,-0.064,0.001,0.032,1.590,0.051,1.590
0.740,1.377,0.437,-1.312,0.970,-1.246,0.485,-0.061,0.001,0.031,1.525,0.047,1.525
